"Year","Transect","Level","Replicate","Data_taken","Organism","Count"
2021,15,-1,3,"yes","Littorina obtusata","0.0"
2021,15,-1,3,"yes","Nucella lapillus","0.0"
2021,15,-1,3,"yes","Anurida maritima","0.0"
2021,15,-1,3,"yes","Mytilus edulis","0.0"
2021,15,-1,3,"yes","Semibalanus balanoides","0.0"
2021,15,-1,3,"yes","Isopods","0.0"
2021,15,-1,3,"yes","Amphipoda","0.0"
2021,15,-1,3,"yes","Diadumene lineata","0.0"
2021,15,-1,3,"yes","Ophiopholis","0.0"
2021,15,-1,3,"yes","Nematodes","0.0"
2021,15,-1,3,"yes","Annelid","0.0"
2021,15,-1,3,"yes","Spirorbis","0.0"
2021,15,-1,3,"yes","Crepidula fornicata","0.0"
2021,15,-1,3,"yes","Anomia simplex","0.0"
2021,15,-1,3,"yes","Lycastopsis","0.0"
2021,15,-1,3,"yes","Lycastopsis","0.0"
2021,15,-1,3,"yes","Idotea balthica","0.0"
2021,15,-1,3,"yes","Idotea balthica","0.0"
2021,15,-1,3,"yes","Micrura affinis","0.0"
2021,15,-1,3,"yes","Pagurus acadianus","0.0"
2021,15,-1,3,"yes","Gammarid","0.0"
2021,15,-1,3,"yes","Lepidonotus","0.0"
2021,15,-1,3,"yes","Nemertean","0.0"
2021,15,-1,3,"yes","Nudibranchia","0.0"
2021,15,-1,3,"yes","Oligochaete","0.0"
2021,15,-1,3,"yes","Polychaeta","0.0"
2021,15,-1,3,"yes","platyhelminthes","0.0"
2021,15,-1,3,"yes","Hemigrapsus sanguineus","0.0"
2021,15,-1,3,"yes","Asterias rubens","0.0"
2021,15,-1,3,"yes","Diadumene lineata","0.0"
2021,15,0,1,"yes","Littorina saxatilis","0.0"
2021,15,0,1,"yes","Littorina littorea","0.0"
2021,15,0,1,"yes","Littorina obtusata","0.0"
2021,15,0,1,"yes","Nucella lapillus","0.0"
2021,15,0,1,"yes","Anurida maritima","0.0"
2021,15,0,1,"yes","Mytilus edulis","0.0"
2021,15,0,1,"yes","Semibalanus balanoides","0.0"
2021,15,0,1,"yes","Isopods","0.0"
2021,15,0,1,"yes","Amphipoda","0.0"
2021,15,0,1,"yes","Diadumene lineata","0.0"
2021,15,0,1,"yes","Ophiopholis","0.0"
2021,15,0,1,"yes","Nematodes","0.0"
2021,15,0,1,"yes","Annelid","0.0"
2021,15,0,1,"yes","Spirorbis","0.0"
2021,15,0,1,"yes","Crepidula fornicata","0.0"
2021,15,0,1,"yes","Anomia simplex","0.0"
2021,15,0,1,"yes","Lycastopsis","0.0"
2021,15,0,1,"yes","Lycastopsis","0.0"
2021,15,0,1,"yes","Idotea balthica","0.0"
2021,15,0,1,"yes","Idotea balthica","0.0"
2021,15,0,1,"yes","Micrura affinis","0.0"
2021,15,0,1,"yes","Pagurus acadianus","0.0"
2021,15,0,1,"yes","Gammarid","0.0"
2021,15,0,1,"yes","Lepidonotus","0.0"
2021,15,0,1,"yes","Nemertean","0.0"
2021,15,0,1,"yes","Nudibranchia","0.0"
2021,15,0,1,"yes","Oligochaete","0.0"
2021,15,0,1,"yes","Polychaeta","0.0"
2021,15,0,1,"yes","platyhelminthes","0.0"
2021,15,0,1,"yes","Hemigrapsus sanguineus","0.0"
2021,15,0,1,"yes","Asterias rubens","0.0"
2021,15,0,1,"yes","Diadumene lineata","0.0"
2021,15,0,2,"yes","Littorina saxatilis","0.0"
2021,15,0,2,"yes","Littorina littorea","0.0"
2021,15,0,2,"yes","Littorina obtusata","0.0"
2021,15,0,2,"yes","Nucella lapillus","0.0"
2021,15,0,2,"yes","Anurida maritima","0.0"
2021,15,0,2,"yes","Mytilus edulis","0.0"
2021,15,0,2,"yes","Semibalanus balanoides","0.0"
2021,15,0,2,"yes","Isopods","0.0"
2021,15,0,2,"yes","Amphipoda","0.0"
2021,15,0,2,"yes","Diadumene lineata","0.0"
2021,15,0,2,"yes","Ophiopholis","0.0"
2021,15,0,2,"yes","Nematodes","0.0"
2021,15,0,2,"yes","Annelid","0.0"
2021,15,0,2,"yes","Spirorbis","0.0"
2021,15,0,2,"yes","Crepidula fornicata","0.0"
2021,15,0,2,"yes","Anomia simplex","0.0"
2021,15,0,2,"yes","Lycastopsis","0.0"
2021,15,0,2,"yes","Lycastopsis","0.0"
2021,15,0,2,"yes","Idotea balthica","0.0"
2021,15,0,2,"yes","Idotea balthica","0.0"
2021,15,0,2,"yes","Micrura affinis","0.0"
2021,15,0,2,"yes","Pagurus acadianus","0.0"
2021,15,0,2,"yes","Gammarid","0.0"
2021,15,0,2,"yes","Lepidonotus","0.0"
2021,15,0,2,"yes","Nemertean","0.0"
2021,15,0,2,"yes","Nudibranchia","0.0"
2021,15,0,2,"yes","Oligochaete","0.0"
2021,15,0,2,"yes","Polychaeta","0.0"
2021,15,0,2,"yes","platyhelminthes","0.0"
2021,15,0,2,"yes","Hemigrapsus sanguineus","0.0"
2021,15,0,2,"yes","Asterias rubens","0.0"
2021,15,0,2,"yes","Diadumene lineata","0.0"
2021,15,0,3,"yes","Littorina saxatilis","0.0"
2021,15,0,3,"yes","Littorina littorea","0.0"
2021,15,0,3,"yes","Littorina obtusata","0.0"
2021,15,0,3,"yes","Nucella lapillus","0.0"
2021,15,0,3,"yes","Anurida maritima","0.0"
2021,15,0,3,"yes","Mytilus edulis","0.0"
2021,15,0,3,"yes","Semibalanus balanoides","0.0"
2021,15,0,3,"yes","Isopods","0.0"
2021,15,0,3,"yes","Amphipoda","0.0"
2021,15,0,3,"yes","Diadumene lineata","0.0"
2021,15,0,3,"yes","Ophiopholis","0.0"
2021,15,0,3,"yes","Nematodes","0.0"
2021,15,0,3,"yes","Annelid","0.0"
2021,15,0,3,"yes","Spirorbis","0.0"
2021,15,0,3,"yes","Crepidula fornicata","0.0"
2021,15,0,3,"yes","Anomia simplex","0.0"
2021,15,0,3,"yes","Lycastopsis","0.0"
2021,15,0,3,"yes","Lycastopsis","0.0"
2021,15,0,3,"yes","Idotea balthica","0.0"
2021,15,0,3,"yes","Idotea balthica","0.0"
2021,15,0,3,"yes","Micrura affinis","0.0"
2021,15,0,3,"yes","Pagurus acadianus","0.0"
2021,15,0,3,"yes","Gammarid","0.0"
2021,15,0,3,"yes","Lepidonotus","0.0"
2021,15,0,3,"yes","Nemertean","0.0"
2021,15,0,3,"yes","Nudibranchia","0.0"
2021,15,0,3,"yes","Oligochaete","0.0"
2021,15,0,3,"yes","Polychaeta","0.0"
2021,15,0,3,"yes","platyhelminthes","0.0"
2021,15,0,3,"yes","Hemigrapsus sanguineus","0.0"
2021,15,0,3,"yes","Asterias rubens","0.0"
2021,15,0,3,"yes","Diadumene lineata","0.0"
2021,15,1,1,"yes","Littorina saxatilis","0.0"
2021,15,1,1,"yes","Littorina littorea","0.0"
2021,15,1,1,"yes","Littorina obtusata","0.0"
2021,15,1,1,"yes","Nucella lapillus","0.0"
2021,15,1,1,"yes","Anurida maritima","0.0"
2021,15,1,1,"yes","Mytilus edulis","0.0"
2021,15,1,1,"yes","Semibalanus balanoides","0.0"
2021,15,1,1,"yes","Isopods","0.0"
2021,15,1,1,"yes","Amphipoda","0.0"
2021,15,1,1,"yes","Diadumene lineata","0.0"
2021,15,1,1,"yes","Ophiopholis","0.0"
2021,15,1,1,"yes","Nematodes","0.0"
2021,15,1,1,"yes","Annelid","0.0"
2021,15,1,1,"yes","Spirorbis","0.0"
2021,15,1,1,"yes","Crepidula fornicata","0.0"
2021,15,1,1,"yes","Anomia simplex","0.0"
2021,15,1,1,"yes","Lycastopsis","0.0"
2021,15,1,1,"yes","Lycastopsis","0.0"
2021,15,1,1,"yes","Idotea balthica","0.0"
2021,15,1,1,"yes","Idotea balthica","0.0"
2021,15,1,1,"yes","Micrura affinis","0.0"
2021,15,1,1,"yes","Pagurus acadianus","0.0"
2021,15,1,1,"yes","Gammarid","0.0"
2021,15,1,1,"yes","Lepidonotus","0.0"
2021,15,1,1,"yes","Nemertean","0.0"
2021,15,1,1,"yes","Nudibranchia","0.0"
2021,15,1,1,"yes","Oligochaete","0.0"
2021,15,1,1,"yes","Polychaeta","0.0"
2021,15,1,1,"yes","platyhelminthes","0.0"
2021,15,1,1,"yes","Hemigrapsus sanguineus","0.0"
2021,15,1,1,"yes","Asterias rubens","0.0"
2021,15,1,1,"yes","Diadumene lineata","0.0"
2021,15,1,2,"yes","Littorina saxatilis","0.0"
2021,15,1,2,"yes","Littorina littorea","0.0"
2021,15,1,2,"yes","Littorina obtusata","0.0"
2021,15,1,2,"yes","Nucella lapillus","0.0"
2021,15,1,2,"yes","Anurida maritima","0.0"
2021,15,1,2,"yes","Mytilus edulis","0.0"
2021,15,1,2,"yes","Semibalanus balanoides","0.0"
2021,15,1,2,"yes","Isopods","0.0"
2021,15,1,2,"yes","Amphipoda","0.0"
2021,15,1,2,"yes","Diadumene lineata","0.0"
2021,15,1,2,"yes","Ophiopholis","0.0"
2021,15,1,2,"yes","Nematodes","0.0"
2021,15,1,2,"yes","Annelid","0.0"
2021,15,1,2,"yes","Spirorbis","0.0"
2021,15,1,2,"yes","Crepidula fornicata","0.0"
2021,15,1,2,"yes","Anomia simplex","0.0"
2021,15,1,2,"yes","Lycastopsis","0.0"
2021,15,1,2,"yes","Lycastopsis","0.0"
2021,15,1,2,"yes","Idotea balthica","0.0"
2021,15,1,2,"yes","Idotea balthica","0.0"
2021,15,1,2,"yes","Micrura affinis","0.0"
2021,15,1,2,"yes","Pagurus acadianus","0.0"
2021,15,1,2,"yes","Gammarid","0.0"
2021,15,1,2,"yes","Lepidonotus","0.0"
2021,15,1,2,"yes","Nemertean","0.0"
2021,15,1,2,"yes","Nudibranchia","0.0"
2021,15,1,2,"yes","Oligochaete","0.0"
2021,15,1,2,"yes","Polychaeta","0.0"
2021,15,1,2,"yes","platyhelminthes","0.0"
2021,15,1,2,"yes","Hemigrapsus sanguineus","0.0"
2021,15,1,2,"yes","Asterias rubens","0.0"
2021,15,1,2,"yes","Diadumene lineata","0.0"
2021,15,1,3,"yes","Littorina saxatilis","0.0"
2021,15,1,3,"yes","Littorina littorea","0.0"
2021,15,1,3,"yes","Littorina obtusata","0.0"
2021,15,1,3,"yes","Nucella lapillus","0.0"
2021,15,1,3,"yes","Anurida maritima","0.0"
2021,15,1,3,"yes","Mytilus edulis","0.0"
2021,15,1,3,"yes","Semibalanus balanoides","0.0"
2021,15,1,3,"yes","Isopods","0.0"
2021,15,1,3,"yes","Amphipoda","0.0"
2021,15,1,3,"yes","Diadumene lineata","0.0"
2021,15,1,3,"yes","Ophiopholis","0.0"
2021,15,1,3,"yes","Nematodes","0.0"
2021,15,1,3,"yes","Annelid","0.0"
2021,15,1,3,"yes","Spirorbis","0.0"
2021,15,1,3,"yes","Crepidula fornicata","0.0"
2021,15,1,3,"yes","Anomia simplex","0.0"
2021,15,1,3,"yes","Lycastopsis","0.0"
2021,15,1,3,"yes","Lycastopsis","0.0"
2021,15,1,3,"yes","Idotea balthica","0.0"
2021,15,1,3,"yes","Idotea balthica","0.0"
2021,15,1,3,"yes","Micrura affinis","0.0"
2021,15,1,3,"yes","Pagurus acadianus","0.0"
2021,15,1,3,"yes","Gammarid","0.0"
2021,15,1,3,"yes","Lepidonotus","0.0"
2021,15,1,3,"yes","Nemertean","0.0"
2021,15,1,3,"yes","Nudibranchia","0.0"
2021,15,1,3,"yes","Oligochaete","0.0"
2021,15,1,3,"yes","Polychaeta","0.0"
2021,15,1,3,"yes","platyhelminthes","0.0"
2021,15,1,3,"yes","Hemigrapsus sanguineus","0.0"
2021,15,1,3,"yes","Asterias rubens","0.0"
2021,15,1,3,"yes","Diadumene lineata","0.0"
2021,15,2,1,"yes","Littorina saxatilis","0.0"
2021,15,2,1,"yes","Littorina littorea","0.0"
2021,15,2,1,"yes","Littorina obtusata","0.0"
2021,15,2,1,"yes","Nucella lapillus","0.0"
2021,15,2,1,"yes","Anurida maritima","0.0"
2021,15,2,1,"yes","Mytilus edulis","0.0"
2021,15,2,1,"yes","Semibalanus balanoides","0.0"
2021,15,2,1,"yes","Isopods","0.0"
2021,15,2,1,"yes","Amphipoda","0.0"
2021,15,2,1,"yes","Diadumene lineata","0.0"
2021,15,2,1,"yes","Ophiopholis","0.0"
2021,15,2,1,"yes","Nematodes","0.0"
2021,15,2,1,"yes","Annelid","0.0"
2021,15,2,1,"yes","Spirorbis","0.0"
2021,15,2,1,"yes","Crepidula fornicata","0.0"
2021,15,2,1,"yes","Anomia simplex","0.0"
2021,15,2,1,"yes","Lycastopsis","0.0"
2021,15,2,1,"yes","Lycastopsis","0.0"
2021,15,2,1,"yes","Idotea balthica","0.0"
2021,15,2,1,"yes","Idotea balthica","0.0"
2021,15,2,1,"yes","Micrura affinis","0.0"
2021,15,2,1,"yes","Pagurus acadianus","0.0"
2021,15,2,1,"yes","Gammarid","0.0"
2021,15,2,1,"yes","Lepidonotus","0.0"
2021,15,2,1,"yes","Nemertean","0.0"
2021,15,2,1,"yes","Nudibranchia","0.0"
2021,15,2,1,"yes","Oligochaete","0.0"
2021,15,2,1,"yes","Polychaeta","0.0"
2021,15,2,1,"yes","platyhelminthes","0.0"
2021,15,2,1,"yes","Hemigrapsus sanguineus","0.0"
2021,15,2,1,"yes","Asterias rubens","0.0"
2021,15,2,1,"yes","Diadumene lineata","0.0"
2021,15,2,2,"yes","Littorina saxatilis","0.0"
2021,15,2,2,"yes","Littorina littorea","0.0"
2021,15,2,2,"yes","Littorina obtusata","0.0"
2021,15,2,2,"yes","Nucella lapillus","0.0"
2021,15,2,2,"yes","Anurida maritima","0.0"
2021,15,2,2,"yes","Mytilus edulis","0.0"
2021,15,2,2,"yes","Semibalanus balanoides","0.0"
2021,15,2,2,"yes","Isopods","0.0"
2021,15,2,2,"yes","Amphipoda","0.0"
2021,15,2,2,"yes","Diadumene lineata","0.0"
2021,15,2,2,"yes","Ophiopholis","0.0"
2021,15,2,2,"yes","Nematodes","0.0"
2021,15,2,2,"yes","Annelid","0.0"
2021,15,2,2,"yes","Spirorbis","0.0"
2021,15,2,2,"yes","Crepidula fornicata","0.0"
2021,15,2,2,"yes","Anomia simplex","0.0"
2021,15,2,2,"yes","Lycastopsis","0.0"
2021,15,2,2,"yes","Lycastopsis","0.0"
2021,15,2,2,"yes","Idotea balthica","0.0"
2021,15,2,2,"yes","Idotea balthica","0.0"
2021,15,2,2,"yes","Micrura affinis","0.0"
2021,15,2,2,"yes","Pagurus acadianus","0.0"
2021,15,2,2,"yes","Gammarid","0.0"
2021,15,2,2,"yes","Lepidonotus","0.0"
2021,15,2,2,"yes","Nemertean","0.0"
2021,15,2,2,"yes","Nudibranchia","0.0"
2021,15,2,2,"yes","Oligochaete","0.0"
2021,15,2,2,"yes","Polychaeta","0.0"
2021,15,2,2,"yes","platyhelminthes","0.0"
2021,15,2,2,"yes","Hemigrapsus sanguineus","0.0"
2021,15,2,2,"yes","Asterias rubens","0.0"
2021,15,2,2,"yes","Diadumene lineata","0.0"
2021,15,2,3,"yes","Littorina saxatilis","0.0"
2021,15,2,3,"yes","Littorina littorea","0.0"
2021,15,2,3,"yes","Littorina obtusata","0.0"
2021,15,2,3,"yes","Nucella lapillus","0.0"
2021,15,2,3,"yes","Anurida maritima","0.0"
2021,15,2,3,"yes","Mytilus edulis","0.0"
2021,15,2,3,"yes","Semibalanus balanoides","0.0"
2021,15,2,3,"yes","Isopods","0.0"
2021,15,2,3,"yes","Amphipoda","0.0"
2021,15,2,3,"yes","Diadumene lineata","0.0"
2021,15,2,3,"yes","Ophiopholis","0.0"
2021,15,2,3,"yes","Nematodes","0.0"
2021,15,2,3,"yes","Annelid","0.0"
2021,15,2,3,"yes","Spirorbis","0.0"
2021,15,2,3,"yes","Crepidula fornicata","0.0"
2021,15,2,3,"yes","Anomia simplex","0.0"
2021,15,2,3,"yes","Lycastopsis","0.0"
2021,15,2,3,"yes","Lycastopsis","0.0"
2021,15,2,3,"yes","Idotea balthica","0.0"
2021,15,2,3,"yes","Idotea balthica","0.0"
2021,15,2,3,"yes","Micrura affinis","0.0"
2021,15,2,3,"yes","Pagurus acadianus","0.0"
2021,15,2,3,"yes","Gammarid","0.0"
2021,15,2,3,"yes","Lepidonotus","0.0"
2021,15,2,3,"yes","Nemertean","0.0"
2021,15,2,3,"yes","Nudibranchia","0.0"
2021,15,2,3,"yes","Oligochaete","0.0"
2021,15,2,3,"yes","Polychaeta","0.0"
2021,15,2,3,"yes","platyhelminthes","0.0"
2021,15,2,3,"yes","Hemigrapsus sanguineus","0.0"
2021,15,2,3,"yes","Asterias rubens","0.0"
2021,15,2,3,"yes","Diadumene lineata","0.0"
2021,15,3,1,"yes","Littorina saxatilis","0.0"
2021,15,3,1,"yes","Littorina littorea","0.0"
2021,15,3,1,"yes","Littorina obtusata","0.0"
2021,15,3,1,"yes","Nucella lapillus","0.0"
2021,15,3,1,"yes","Anurida maritima","0.0"
2021,15,3,1,"yes","Mytilus edulis","0.0"
2021,15,3,1,"yes","Semibalanus balanoides","0.0"
2021,15,3,1,"yes","Isopods","0.0"
2021,15,3,1,"yes","Amphipoda","0.0"
2021,15,3,1,"yes","Diadumene lineata","0.0"
2021,15,3,1,"yes","Ophiopholis","0.0"
2021,15,3,1,"yes","Nematodes","0.0"
2021,15,3,1,"yes","Annelid","0.0"
2021,15,3,1,"yes","Spirorbis","0.0"
2021,15,3,1,"yes","Crepidula fornicata","0.0"
2021,15,3,1,"yes","Anomia simplex","0.0"
2021,15,3,1,"yes","Lycastopsis","0.0"
2021,15,3,1,"yes","Lycastopsis","0.0"
2021,15,3,1,"yes","Idotea balthica","0.0"
2021,15,3,1,"yes","Idotea balthica","0.0"
2021,15,3,1,"yes","Micrura affinis","0.0"
2021,15,3,1,"yes","Pagurus acadianus","0.0"
2021,15,3,1,"yes","Gammarid","0.0"
2021,15,3,1,"yes","Lepidonotus","0.0"
2021,15,3,1,"yes","Nemertean","0.0"
2021,15,3,1,"yes","Nudibranchia","0.0"
2021,15,3,1,"yes","Oligochaete","0.0"
2021,15,3,1,"yes","Polychaeta","0.0"
2021,15,3,1,"yes","platyhelminthes","0.0"
2021,15,3,1,"yes","Hemigrapsus sanguineus","0.0"
2021,15,3,1,"yes","Asterias rubens","0.0"
2021,15,3,1,"yes","Diadumene lineata","0.0"
2021,15,3,2,"yes","Littorina saxatilis","0.0"
2021,15,3,2,"yes","Littorina littorea","0.0"
2021,15,3,2,"yes","Littorina obtusata","0.0"
2021,15,3,2,"yes","Nucella lapillus","0.0"
2021,15,3,2,"yes","Anurida maritima","0.0"
2021,15,3,2,"yes","Mytilus edulis","0.0"
2021,15,3,2,"yes","Semibalanus balanoides","0.0"
2021,15,3,2,"yes","Isopods","0.0"
2021,15,3,2,"yes","Amphipoda","0.0"
2021,15,3,2,"yes","Diadumene lineata","0.0"
2021,15,3,2,"yes","Ophiopholis","0.0"
2021,15,3,2,"yes","Nematodes","0.0"
2021,15,3,2,"yes","Annelid","0.0"
2021,15,3,2,"yes","Spirorbis","0.0"
2021,15,3,2,"yes","Crepidula fornicata","0.0"
2021,15,3,2,"yes","Anomia simplex","0.0"
2021,15,3,2,"yes","Lycastopsis","0.0"
2021,15,3,2,"yes","Lycastopsis","0.0"
2021,15,3,2,"yes","Idotea balthica","0.0"
2021,15,3,2,"yes","Idotea balthica","0.0"
2021,15,3,2,"yes","Micrura affinis","0.0"
2021,15,3,2,"yes","Pagurus acadianus","0.0"
2021,15,3,2,"yes","Gammarid","0.0"
2021,15,3,2,"yes","Lepidonotus","0.0"
2021,15,3,2,"yes","Nemertean","0.0"
2021,15,3,2,"yes","Nudibranchia","0.0"
2021,15,3,2,"yes","Oligochaete","0.0"
2021,15,3,2,"yes","Polychaeta","0.0"
2021,15,3,2,"yes","platyhelminthes","0.0"
2021,15,3,2,"yes","Hemigrapsus sanguineus","0.0"
2021,15,3,2,"yes","Asterias rubens","0.0"
2021,15,3,2,"yes","Diadumene lineata","0.0"
2021,15,3,3,"yes","Littorina saxatilis","0.0"
2021,15,3,3,"yes","Littorina littorea","0.0"
2021,15,3,3,"yes","Littorina obtusata","0.0"
2021,15,3,3,"yes","Nucella lapillus","0.0"
2021,15,3,3,"yes","Anurida maritima","0.0"
2021,15,3,3,"yes","Mytilus edulis","0.0"
2021,15,3,3,"yes","Semibalanus balanoides","0.0"
2021,15,3,3,"yes","Isopods","0.0"
2021,15,3,3,"yes","Amphipoda","0.0"
2021,15,3,3,"yes","Diadumene lineata","0.0"
2021,15,3,3,"yes","Ophiopholis","0.0"
2021,15,3,3,"yes","Nematodes","0.0"
2021,15,3,3,"yes","Annelid","0.0"
2021,15,3,3,"yes","Spirorbis","0.0"
2021,15,3,3,"yes","Crepidula fornicata","0.0"
2021,15,3,3,"yes","Anomia simplex","0.0"
2021,15,3,3,"yes","Lycastopsis","0.0"
2021,15,3,3,"yes","Lycastopsis","0.0"
2021,15,3,3,"yes","Idotea balthica","0.0"
2021,15,3,3,"yes","Idotea balthica","0.0"
2021,15,3,3,"yes","Micrura affinis","0.0"
2021,15,3,3,"yes","Pagurus acadianus","0.0"
2021,15,3,3,"yes","Gammarid","0.0"
2021,15,3,3,"yes","Lepidonotus","0.0"
2021,15,3,3,"yes","Nemertean","0.0"
2021,15,3,3,"yes","Nudibranchia","0.0"
2021,15,3,3,"yes","Oligochaete","0.0"
2021,15,3,3,"yes","Polychaeta","0.0"
2021,15,3,3,"yes","platyhelminthes","0.0"
2021,15,3,3,"yes","Hemigrapsus sanguineus","0.0"
2021,15,3,3,"yes","Asterias rubens","0.0"
2021,15,3,3,"yes","Diadumene lineata","0.0"
2021,15,4,1,"yes","Littorina saxatilis","0.0"
2021,15,4,1,"yes","Littorina littorea","0.0"
2021,15,4,1,"yes","Littorina obtusata","0.0"
2021,15,4,1,"yes","Nucella lapillus","0.0"
2021,15,4,1,"yes","Anurida maritima","0.0"
2021,15,4,1,"yes","Mytilus edulis","0.0"
2021,15,4,1,"yes","Semibalanus balanoides","0.0"
2021,15,4,1,"yes","Isopods","0.0"
2021,15,4,1,"yes","Amphipoda","0.0"
2021,15,4,1,"yes","Diadumene lineata","0.0"
2021,15,4,1,"yes","Ophiopholis","0.0"
2021,15,4,1,"yes","Nematodes","0.0"
2021,15,4,1,"yes","Annelid","0.0"
2021,15,4,1,"yes","Spirorbis","0.0"
2021,15,4,1,"yes","Crepidula fornicata","0.0"
2021,15,4,1,"yes","Anomia simplex","0.0"
2021,15,4,1,"yes","Lycastopsis","0.0"
2021,15,4,1,"yes","Lycastopsis","0.0"
2021,15,4,1,"yes","Idotea balthica","0.0"
2021,15,4,1,"yes","Idotea balthica","0.0"
2021,15,4,1,"yes","Micrura affinis","0.0"
2021,15,4,1,"yes","Pagurus acadianus","0.0"
2021,15,4,1,"yes","Gammarid","0.0"
2021,15,4,1,"yes","Lepidonotus","0.0"
2021,15,4,1,"yes","Nemertean","0.0"
2021,15,4,1,"yes","Nudibranchia","0.0"
2021,15,4,1,"yes","Oligochaete","0.0"
2021,15,4,1,"yes","Polychaeta","0.0"
2021,15,4,1,"yes","platyhelminthes","0.0"
2021,15,4,1,"yes","Hemigrapsus sanguineus","0.0"
2021,15,4,1,"yes","Asterias rubens","0.0"
2021,15,4,1,"yes","Diadumene lineata","0.0"
2021,15,4,2,"yes","Littorina saxatilis","0.0"
2021,15,4,2,"yes","Littorina littorea","0.0"
2021,15,4,2,"yes","Littorina obtusata","0.0"
2021,15,4,2,"yes","Nucella lapillus","0.0"
2021,15,4,2,"yes","Anurida maritima","0.0"
2021,15,4,2,"yes","Mytilus edulis","0.0"
2021,15,4,2,"yes","Semibalanus balanoides","0.0"
2021,15,4,2,"yes","Isopods","0.0"
2021,15,4,2,"yes","Amphipoda","0.0"
2021,15,4,2,"yes","Diadumene lineata","0.0"
2021,15,4,2,"yes","Ophiopholis","0.0"
2021,15,4,2,"yes","Nematodes","0.0"
2021,15,4,2,"yes","Annelid","0.0"
2021,15,4,2,"yes","Spirorbis","0.0"
2021,15,4,2,"yes","Crepidula fornicata","0.0"
2021,15,4,2,"yes","Anomia simplex","0.0"
2021,15,4,2,"yes","Lycastopsis","0.0"
